manufSN,internalSN,itemCode,itemName,customer,custmrName,Distance,cntrctEnd,contractID,Name
PO44N250,PO44N250,Domino G20i Printer  PO44N250,Domino G20i Printer  PO44N250,TTL,Tea Tang Ltd.,,,,0
G2261J1P079N100,G2261J1P079N100,Domino G20i Printer G2261J1P079N100,Domino G20i Printer G2261J1P079N100,SANMIK FOOD,Sanmik Food Pvt Ltd,,,,Mr.Sisira
K138J1P094N150,K138J1P094N150,Domino G20i Printer K138J1P094N150,Domino G20i Printer K138J1P094N150,FALCON,Falcon Trading Pvt Ltd,,,,0
K2138J1P078N150,K2138J1P078N150,Domino G20i Printer K2138J1P078N150,Domino G20i Printer K2138J1P078N150,COLOMBO ICE CO,The Colombo Ice Company Pvt Ltd,,,,Mr. Chamalinda Mandawala
,10101721,Laser Machine AKJ6040,Laser Machine AKJ6040,HASALA,Hasala Engineering,,,,0
,10099809,Laser Machine AKJ6040,Laser Machine AKJ6040,HASALA,Hasala Engineering,,,,0
,1,Plucked Machine,Plucked Machine,PUSSALLA,Pussalla Meat Producers Pvt Ltd,,,,0
,21303 / 5/05,Fully Automatic Induction Sealer,Fully Automatic Induction Sealer,NATURE CEYLON,Naturally Ceylon Pvt Ltd,,,,The Accountant
,2019BAO-29493,Bry air Dehumidifier,Bry air Dehumidifier,CARGILLS AGRI,Cargills Agri Foods Ltd,,,,Mr. Tharindu
,21052 -  23/3/2022,Bry air ECO Dry Dehumidifier,Bry air ECO Dry Dehumidifier,CIC SEEDS,Cic Seeds Pvt Ltd,,,,0
,FFB-300,Bry air ECO Dry Dehumidifier,Bry air ECO Dry Dehumidifier,INTERPHARM,Interpharm Pvt Ltd,,,,Mr. Hemasiri
,21102 -  28/03/2022,Fully Automatic Packing & Sealing Machine (AC-6B14-2B-1X),Fully Automatic Packing & Sealing Machine (AC-6B14-2B-1X),Sineth,Sineth Ceylon Teas,,,,Maaging Director
,3,CODING MACHINE  MY380,CODING MACHINE  MY380,REMARK FRESH,REMARK FRESH (PVT) LTD,,,,Samith Dissanayake
,11,MULTI FUNCTIONAL FILM SEALER,MULTI FUNCTIONAL FILM SEALER,REMARK FRESH,REMARK FRESH (PVT) LTD,,,,Samith Dissanayake
,16,Continuous Sealing Machine,Continuous Sealing Machine,Iynul,Mrs. Iynul Rifka,,,,Owner wife
,13,Continuous Sealing Machine,Continuous Sealing Machine,SWEET SURRENDER,Sweet Surrender (Pvt) Ltd,,,,0
,14,Continuous Sealing Machine,Continuous Sealing Machine,SDS Pvt,SDS Pvt Ltd,,,,Owner
,15,Continuous Sealing Machine,Continuous Sealing Machine,BAVANI IND,Bavaniindustries,,,,Accounts
,21988-1,Continuous Sealing Machine,Continuous Sealing Machine,AVENRICH TEA,Avenrich Tea Pvt Ltd,,,,0
,21988-2,Continuous Sealing Machine,Continuous Sealing Machine,KEELLS,Keells Food Products Plc,,,,0
,21988-3,Continuous Sealing Machine,Continuous Sealing Machine,KEELLS,Keells Food Products Plc,,,,0
,17,Induction Sealing Machine,Induction Sealing Machine,AMMA INDUS,Amma industries,,,,0
,18,Induction Sealing Machine,Induction Sealing Machine,WICHY,Wichy Plantation Company Pvt Ltd,,,,0
,20,Semi Auto L Bar Sealer,Semi Auto L Bar Sealer,CEYFLEX RUBBER,Ceyflex Rubber Ltd.,,,,0
,21,Semi Auto L Bar Sealer,Semi Auto L Bar Sealer,CIBO FOODS,CIBO Foods,,,,0
,FQ; 450 A -1,Semi Auto L Bar Sealer,Semi Auto L Bar Sealer,DELMO,Delmo Chicken & Agro Pvt Ltd,,,,Mr.Maduka
,FQ; 450 A -2,Semi Auto L Bar Sealer,Semi Auto L Bar Sealer,SRILANKAN,Srilankan Catering Pvt Ltd,,,,0
,23,Strapping Machine,Strapping Machine,T N S,T N S TECHNOLOGY,,,,0
,24,Strapping Machine,Strapping Machine,T N S,T N S TECHNOLOGY,,,,0
,25,Strapping Machine,Strapping Machine,T N S,T N S TECHNOLOGY,,,,0
,21512,"Semi-Automatic Carton Sealer 3"" Tape","Semi-Automatic Carton Sealer 3"" Tape",Stassen Exp,Stassen Exports (Pvt) Ltd,,,,Supply Chain
,21512-1,"Semi-Automatic Carton Sealer 3"" Tape","Semi-Automatic Carton Sealer 3"" Tape",Stassen Exp,Stassen Exports (Pvt) Ltd,,,,Supply Chain
,bpm22F0207,Automatic Flap Folding Machine,Automatic Flap Folding Machine,JAT HOLDINGS,Jat Holdings (Pvt) Ltd.,,,,Mr.Indika
,29,Semi Auto Carton Sealer,Semi Auto Carton Sealer,TILLMAX,TILLMAX PVT LTD,,,,Manager Engineering
,30,Semi Auto Carton Sealer,Semi Auto Carton Sealer,Sammana Stat,Sammana Stationer,,,,GM
,31,Semi Auto Carton Sealer,Semi Auto Carton Sealer,TILLMAX,TILLMAX PVT LTD,,,,Manager Engineering
,FXJ 50501 -1,Semi Auto Carton Sealer,Semi Auto Carton Sealer,SENA MIL REF EX,Sena Mills Refieries Export (Pvt) Ltd,,,,0
,FXJ 50501 -2,Semi Auto Carton Sealer,Semi Auto Carton Sealer,MCW,Motha Confectionery Works (Pvt) Ltd,,,,Mr.Adrian
,FXJ 50501 -3,Semi Auto Carton Sealer,Semi Auto Carton Sealer,Stassen Exp,Stassen Exports (Pvt) Ltd,,,,Supply Chain
,FXJ 50501 -4,Semi Auto Carton Sealer,Semi Auto Carton Sealer,HEMAS,Hemas Manufacturing Pvt Ltd,,,,0
,FXJ 50501 -5,Semi Auto Carton Sealer,Semi Auto Carton Sealer,TILLMAX,TILLMAX PVT LTD,,,,Manager Engineering
,22/03/2022/GRN20952,Vacuum Packing Machine,Vacuum Packing Machine,HERITAGE TEAS,Heritage Teas Pvt Ltd,,,,0
